date,hy,kpj,zgj,zdj,spj,zd,jqpjj,cjl,cjje,url
2010-07-19,合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,https://www.sge.com.cn/sjzx/mrhqsj/510146
2010-07-19,Au9995,260.80,260.96,260.29,260.33,-3.41,-0.0129,260.70,"2,966",https://www.sge.com.cn/sjzx/mrhqsj/510146
2010-07-19,Au9999,263.60,263.60,260.48,260.65,-2.95,-0.0112,260.84,"2,289",https://www.sge.com.cn/sjzx/mrhqsj/510146
2010-07-19,Au100g,262.00,262.90,261.30,261.50,-2.50,-0.0095,261.89,76.8,https://www.sge.com.cn/sjzx/mrhqsj/510146
2010-07-19,Au50g,261.80,261.80,261.80,261.80,-3.50,-0.0132,261.80,14,https://www.sge.com.cn/sjzx/mrhqsj/510146
2010-07-19,AuT+D,260.00,260.75,260.00,260.12,-3.40,-0.0129,260.49,"14,812",https://www.sge.com.cn/sjzx/mrhqsj/510146
2010-07-19,Pt9995,343.00,344.00,342.25,342.50,-2.12,-0.0062,342.89,198,https://www.sge.com.cn/sjzx/mrhqsj/510146
2010-07-19,Ag99.99,"4,150.00","4,150.00","4,150.00","4,150.00",-50.00,-0.0119,"4,150.00",900,https://www.sge.com.cn/sjzx/mrhqsj/510146
2010-07-19,Ag(T+D),"4,125.00","4,142.00","4,124.00","4,131.00",-39.00,-0.0094,"4,132.00","140,964",https://www.sge.com.cn/sjzx/mrhqsj/510146
2016-12-29,Au99.95,262.38,262.85,262.10,262.73,1.19,0.0046,262.36,"2,220",https://www.sge.com.cn/sjzx/mrhqsj/5140875
2016-12-29,Au99.99,261.60,263.20,260.80,262.99,1.08,0.0041,262.49,"32,651.44",https://www.sge.com.cn/sjzx/mrhqsj/5140875
2016-12-29,Au100g,263.49,264.50,262.50,263.75,0.69,0.0026,263.95,77.6,https://www.sge.com.cn/sjzx/mrhqsj/5140875
2016-12-29,iAu99.99,262.50,262.50,257.01,258.06,-4.73,-0.0180,258.37,244.66,https://www.sge.com.cn/sjzx/mrhqsj/5140875
2016-12-29,Au(T+D),261.30,262.62,260.89,262.53,0.78,0.0030,262.05,"62,706",https://www.sge.com.cn/sjzx/mrhqsj/5140875
2016-12-29,Au(T+N1),266.35,268.30,265.90,267.95,1.20,0.0045,267.9,102.2,https://www.sge.com.cn/sjzx/mrhqsj/5140875
2016-12-29,Au(T+N2),269.80,271.70,268.15,271.50,1.80,0.0067,271.35,29.4,https://www.sge.com.cn/sjzx/mrhqsj/5140875
2016-12-29,mAu(T+D),261.50,262.88,261.28,262.74,0.79,0.0030,262.31,"10,321.20",https://www.sge.com.cn/sjzx/mrhqsj/5140875
2016-12-29,Pt99.95,217.50,220.50,217.00,219.82,0.04,0.0002,219,194,https://www.sge.com.cn/sjzx/mrhqsj/5140875
2016-12-29,Ag99.99,"3,968","3,968","3,968","3,968",38,0.0097,"3,968",600,https://www.sge.com.cn/sjzx/mrhqsj/5140875
2016-12-29,Ag(T+D),"3,920","3,978","3,920","3,970",39,0.0099,"3,953","4,173,718",https://www.sge.com.cn/sjzx/mrhqsj/5140875
2016-12-30,Au99.95,265.38,265.38,264.00,264.50,1.77,0.0067,264.43,"1,144",https://www.sge.com.cn/sjzx/mrhqsj/5140902
2016-12-30,Au99.99,262.84,265.80,261.00,263.90,0.91,0.0035,264.27,"14,103",https://www.sge.com.cn/sjzx/mrhqsj/5140902
2016-12-30,Au100g,263.30,266.30,263.30,265.35,1.60,0.0061,264.94,47.4,https://www.sge.com.cn/sjzx/mrhqsj/5140902
2016-12-30,iAu99.99,257.86,265.00,255.00,262.40,4.34,0.0168,261.26,"5,064.80",https://www.sge.com.cn/sjzx/mrhqsj/5140902
2016-12-30,Au(T+D),262.25,265.80,262.20,264.34,2.29,0.0087,264.17,"84,776",https://www.sge.com.cn/sjzx/mrhqsj/5140902
2016-12-30,Au(T+N1),267.90,277.00,266.00,270.05,2.15,0.0080,270.05,357,https://www.sge.com.cn/sjzx/mrhqsj/5140902
2016-12-30,Au(T+N2),270.50,275.00,270.50,273.65,2.30,0.0085,273.1,30.2,https://www.sge.com.cn/sjzx/mrhqsj/5140902
2016-12-30,mAu(T+D),262.31,265.88,262.31,264.39,2.08,0.0079,264.33,"11,131",https://www.sge.com.cn/sjzx/mrhqsj/5140902
2016-12-30,Pt99.95,219.50,220.00,218.75,219.10,-0.72,-0.0033,219.64,132,https://www.sge.com.cn/sjzx/mrhqsj/5140902
2016-12-30,Ag(T+D),"3,960","4,013","3,953","3,988",35,0.0089,"3,983","5,000,326",https://www.sge.com.cn/sjzx/mrhqsj/5140902
2017-01-13,Au99.95,269.99,270.00,265.40,268.73,-0.65,-0.0024,268.61,"2,090",https://www.sge.com.cn/sjzx/mrhqsj/5140971
2017-01-13,Au99.99,270.60,270.60,268.42,268.79,-0.54,-0.0020,268.7,"32,794.32",https://www.sge.com.cn/sjzx/mrhqsj/5140971
2017-01-13,Au100g,270.00,270.00,267.03,269.27,-0.51,-0.0019,269.1,34.6,https://www.sge.com.cn/sjzx/mrhqsj/5140971
2017-01-13,iAu99.99,267.99,268.00,263.75,264.15,-2.66,-0.0100,264.54,"4,791",https://www.sge.com.cn/sjzx/mrhqsj/5140971
2017-01-13,iAu100g,266.00,266.00,266.00,266.00,-16.00,-0.0567,266,0.2,https://www.sge.com.cn/sjzx/mrhqsj/5140971
2017-01-13,Au(T+D),270.01,270.05,268.30,268.64,0.34,0.0013,268.87,"73,260",https://www.sge.com.cn/sjzx/mrhqsj/5140971
2017-01-13,Au(T+N1),274.95,274.95,270.20,270.45,1.05,0.0039,270.5,330.6,https://www.sge.com.cn/sjzx/mrhqsj/5140971
2017-01-13,Au(T+N2),276.00,276.00,273.15,274.05,-0.20,-0.0007,274.25,45,https://www.sge.com.cn/sjzx/mrhqsj/5140971
2017-01-13,mAu(T+D),270.02,270.35,268.30,268.58,0.20,0.0008,268.85,"9,580.60",https://www.sge.com.cn/sjzx/mrhqsj/5140971
2017-01-13,Pt99.95,231.50,231.50,230.50,230.90,-3.48,-0.0149,231.26,76,https://www.sge.com.cn/sjzx/mrhqsj/5140971
2017-01-13,Ag99.99,"4,015","4,015","4,015","4,015",-23,-0.0057,"4,015",60,https://www.sge.com.cn/sjzx/mrhqsj/5140971
2017-01-13,Ag(T+D),"4,044","4,044","4,000","4,010",-14,-0.0035,"4,021","4,053,264",https://www.sge.com.cn/sjzx/mrhqsj/5140971
2017-01-16,Au99.95,269.15,270.60,269.00,270.50,1.77,0.0066,269.61,"2,662",https://www.sge.com.cn/sjzx/mrhqsj/5140979
2017-01-16,Au99.99,269.00,270.99,268.15,270.50,1.71,0.0064,270.13,"22,754.42",https://www.sge.com.cn/sjzx/mrhqsj/5140979
2017-01-16,Au100g,268.15,271.50,268.15,271.29,2.02,0.0075,269.89,29.6,https://www.sge.com.cn/sjzx/mrhqsj/5140979
